names,state,party,district,cid
 Grace Meng,New York,Democrat, District 6,N00034547
 Jeff Merkley,Oregon,Democrat, Senate,N00029303
 Dan Meuser,Pennsylvania,Republican, District 9,N00029416
 Kweisi Mfume,Maryland,Democrat, District 7,N00001799
 Carol Miller,West Virginia,Republican, District 3,N00041542
 Paul Mitchell,Michigan,Republican, District 10,N00036274
 John Moolenaar,Michigan,Republican, District 4,N00036275
 Alex Mooney,West Virginia,Republican, District 2,N00033814
 Gwen Moore,Wisconsin,Democrat, District 4,N00026914
 Jerry Moran,Kansas,Republican, Senate,N00005282
 Joseph D Morelle,New York,Democrat, District 25,N00043207
 Seth Moulton,Massachusetts,Democrat, District 6,N00035431
 Debbie Mucarsel-Powell,Florida,Democrat, District 26,N00041561
 Markwayne Mullin,Oklahoma,Republican, District 2,N00033410
 Lisa Murkowski,Alaska,Republican, Senate,N00026050
 Christopher S Murphy,Connecticut,Democrat, Senate,N00027566
 Greg Murphy,North Carolina,Republican, District 3,N00044027
 Stephanie Murphy,Florida,Democrat, District 7,N00040133
 Patty Murray,Washington,Democrat, Senate,N00007876
 Jerrold Nadler,New York,Democrat, District 10,N00000939
 Grace Napolitano,California,Democrat, District 32,N00006789
 Richard E Neal,Massachusetts,Democrat, District 1,N00000153
 Joseph Neguse,Colorado,Democrat, District 2,N00041080
 Dan Newhouse,Washington,Republican, District 4,N00036403
 Don Norcross,New Jersey,Democrat, District 1,N00036154
 Ralph Norman,South Carolina,Republican, District 5,N00027783
 Eleanor Holmes Norton,District of Columbia,Democrat, At Large,N00001692
 Devin Nunes,California,Republican, District 22,N00007248
 Tom O'Halleran,Arizona,Democrat, District 1,N00037515
 Alexandria Ocasio-Cortez,New York,Democrat, District 14,N00041162
 Pete Olson,Texas,Republican, District 22,N00029285
 Ilhan Omar,Minnesota,Democrat, District 5,N00043581
 Steven Palazzo,Mississippi,Republican, District 4,N00031958
 Frank Jr Pallone,New Jersey,Democrat, District 6,N00000781
 Gary Palmer,Alabama,Republican, District 6,N00035691
 Jimmy Panetta,California,Democrat, District 20,N00038601
 Chris Pappas,New Hampshire,Democrat, District 1,N00042161
 Bill Jr Pascrell,New Jersey,Democrat, District 9,N00000751
 Rand Paul,Kentucky,Republican, Senate,N00030836
 Donald M Jr Payne,New Jersey,Democrat, District 10,N00034639
 Nancy Pelosi,California,Democrat, District 12,N00007360
 Greg Pence,Indiana,Republican, District 6,N00041956
 David Perdue,Georgia,Republican, Senate,N00035516
 Ed Perlmutter,Colorado,Democrat, District 7,N00027510
 Scott Perry,Pennsylvania,Republican, District 10,N00034120
 Gary Peters,Michigan,Democrat, Senate,N00029277
 Scott Peters,California,Democrat, District 52,N00033591
 Collin Peterson,Minnesota,Democrat, District 7,N00004558
 Dean Phillips,Minnesota,Democrat, District 3,N00041134
 Chellie Pingree,Maine,Democrat, District 1,N00013817
 Stacey Plaskett,Virgin Islands,Democrat, At Large,N00035000
 Mark Pocan,Wisconsin,Democrat, District 2,N00033549
 Katie Porter,California,Democrat, District 45,N00040865
 Rob Portman,Ohio,Republican, Senate,N00003682
 Bill Posey,Florida,Republican, District 8,N00029662
 Ayanna Pressley,Massachusetts,Democrat, District 7,N00042581
 David Price,North Carolina,Democrat, District 4,N00002260
 Mike Quigley,Illinois,Democrat, District 5,N00030581
 Amata Coleman Radewagen,American Samoa,Republican, At Large,N00007635
 Jamie Raskin,Maryland,Democrat, District 8,N00037036
 Jack Reed,Rhode Island,Democrat, Senate,N00000362
 Tom Reed,New York,Republican, District 23,N00030949
 Guy Reschenthaler,Pennsylvania,Republican, District 14,N00041871
 Kathleen Rice,New York,Democrat, District 4,N00035927
 Tom Rice,South Carolina,Republican, District 7,N00033832
 Cedric Richmond,Louisiana,Democrat, District 2,N00030184
 Denver Riggleman,Virginia,Republican, District 5,N00043541
 James E Risch,Idaho,Republican, Senate,N00029441
 Pat Roberts,Kansas,Republican, Senate,N00005285
 Martha Roby,Alabama,Republican, District 2,N00030768
 Lisa Blunt Rochester,Delaware,Democrat, District 1,N00038414
 Cathy McMorris Rodgers,Washington,Republican, District 5,N00026314
 Phil Roe,Tennessee,Republican, District 1,N00028463
 Hal Rogers,Kentucky,Republican, District 5,N00003473
 Mike D Rogers,Alabama,Republican, District 3,N00024759
 Mitt Romney,Utah,Republican, Senate,N00000286
 Francis Rooney,Florida,Republican, District 19,N00040007
 John Rose,Tennessee,Republican, District 6,N00041599
 Max Rose,New York,Democrat, District 11,N00041588
 Jacky Rosen,Nevada,Democrat, Senate,N00038734
 Harley Rouda,California,Democrat, District 48,N00040666
 Mike Rounds,South Carolina,Republican, Senate,N00035187
 David Rouzer,North Carolina,Republican, District 7,N00033527
 Chip Roy,Texas,Republican, District 21,N00042268
 Lucille Roybal-Allard,California,Democrat, District 40,N00006671
 Marco Rubio,Florida,Republican, Senate,N00030612
 Raul Ruiz,California,Democrat, District 36,N00033510
 Dutch Ruppersberger,Maryland,Democrat, District 2,N00025482
 Bobby L Rush,Illinois,Democrat, District 1,N00004887
